id,carat,cut,color,clarity,depth,table,x,y,z,price
2529,1.5,Premium,G,VS1,59.2,59.0,7.44,7.39,4.39,13720
2530,0.34,Ideal,E,SI1,62.2,55.0,4.49,4.45,2.78,765
2531,0.74,Ideal,E,SI2,59.2,59.0,5.92,5.97,3.52,2501
2532,0.6,Premium,D,SI1,61.6,58.0,5.42,5.45,3.35,1896
2533,1.01,Good,G,VS2,63.9,54.0,6.37,6.31,4.05,5701
2534,1.01,Fair,D,SI2,65.3,55.0,6.33,6.19,4.09,4205
2535,0.3,Premium,E,SI1,61.3,60.0,4.31,4.27,2.63,675
2536,1.01,Premium,I,SI2,62.9,58.0,6.34,6.31,3.98,3461
2537,0.7,Ideal,H,VS2,62.8,55.0,5.67,5.63,3.55,2607
2538,0.52,Ideal,D,VS2,62.2,56.0,5.13,5.16,3.2,1822
2539,0.7,Very Good,F,SI1,59.1,59.0,5.76,5.91,3.45,2278
2540,0.41,Very Good,H,SI1,62.9,55.0,4.75,4.82,3.01,683
2541,0.74,Ideal,J,VS1,61.7,57.0,5.79,5.84,3.59,2468
2542,1.52,Ideal,F,SI1,62.0,54.0,7.44,7.36,4.59,12182
2543,0.42,Ideal,F,SI1,61.6,55.0,4.85,4.83,2.98,838
2544,1.18,Ideal,G,SI2,60.5,55.0,6.9,6.85,4.16,5452
2545,0.7,Ideal,G,VS1,60.6,57.0,5.7,5.75,3.47,2512
2546,1.33,Premium,F,SI2,60.7,62.0,7.12,7.07,4.31,5288
2547,1.13,Premium,I,SI1,61.7,58.0,6.66,6.62,4.1,4113
2548,0.31,Good,F,VVS2,63.6,55.0,4.33,4.29,2.74,846
2549,0.73,Ideal,D,SI1,62.4,53.0,5.79,5.82,3.62,3195
2550,0.31,Very Good,F,VVS1,61.4,56.0,4.37,4.4,2.69,859
2551,0.3,Ideal,F,VVS2,61.7,56.0,4.32,4.34,2.67,694
2552,0.31,Ideal,G,VS2,62.4,54.0,4.39,4.36,2.73,698
2553,1.06,Premium,H,VS2,60.8,59.0,6.55,6.58,3.99,5205
2554,0.4,Ideal,F,VVS2,62.4,56.0,4.72,4.74,2.95,1088
2555,1.01,Ideal,E,SI1,61.9,56.0,6.43,6.47,3.99,5571
2556,0.57,Very Good,E,VS2,60.7,58.0,5.37,5.33,3.25,1732
2557,1.51,Very Good,J,VVS2,62.6,63.0,7.24,7.29,4.55,8550
2558,0.91,Premium,G,SI1,62.2,57.0,6.17,6.12,3.82,3816
2559,0.77,Very Good,G,VS1,60.9,55.0,5.9,5.96,3.61,3243
2560,1.51,Very Good,H,VS2,62.8,60.0,7.25,7.28,4.56,11166
2561,1.13,Premium,I,VS2,60.2,61.0,6.74,6.71,4.05,4430
2562,0.52,Premium,E,VS1,59.2,59.0,5.29,5.25,3.12,1739
2563,0.56,Premium,G,SI1,58.8,59.0,5.4,5.38,3.17,1441
2564,1.01,Very Good,E,SI2,61.8,56.0,6.42,6.5,3.99,4355
2565,0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,1928
2566,1.3,Ideal,F,VVS2,62.4,57.0,6.97,6.9,4.33,12734
2567,0.33,Ideal,F,VVS1,61.9,55.0,4.44,4.48,2.76,880
2568,0.51,Premium,F,SI2,62.9,59.0,5.11,5.07,3.2,956
2569,0.5,Good,F,SI2,57.7,62.0,5.22,5.18,3.0,984
2570,0.9,Ideal,D,SI1,62.6,55.0,6.1,6.16,3.84,4819
2571,0.71,Ideal,G,VS1,61.7,56.0,5.72,5.75,3.53,3431
2572,0.31,Ideal,F,VS2,62.4,56.0,4.34,4.31,2.7,802
2573,0.7,Ideal,J,SI1,60.4,56.0,5.71,5.74,3.46,1926
2574,0.5,Very Good,F,SI2,62.9,57.0,5.02,5.06,3.17,1020
2575,0.7,Very Good,D,SI1,63.7,59.0,5.59,5.65,3.58,2210
2576,0.72,Very Good,J,SI1,57.6,63.0,5.89,5.95,3.41,2123
2577,1.51,Premium,J,SI1,59.9,60.0,7.46,7.41,4.45,7822
2578,1.11,Good,H,SI2,63.5,60.3,6.49,6.58,4.15,4456
2579,1.9,Premium,J,SI1,61.9,57.0,7.98,7.95,4.93,10885
2580,0.59,Very Good,F,SI2,63.4,57.0,5.32,5.28,3.36,1301
2581,0.31,Ideal,G,VS2,62.0,57.0,4.34,4.37,2.7,544
2582,0.36,Premium,D,VS2,61.8,58.0,4.58,4.55,2.82,1094
2583,0.27,Very Good,F,VVS2,62.3,59.0,4.14,4.18,2.59,591
2584,0.3,Ideal,E,VS2,62.1,55.0,4.32,4.35,2.69,621
2585,1.01,Ideal,F,VS1,60.8,57.0,6.54,6.52,3.97,7412
2586,0.38,Very Good,F,VS2,60.9,56.0,4.67,4.72,2.86,800
2587,1.51,Premium,H,VS2,62.9,59.0,7.31,7.25,4.58,11268
2588,0.37,Ideal,H,VS1,61.8,55.0,4.63,4.66,2.87,668
2589,0.9,Very Good,H,VS2,62.8,58.0,6.13,6.17,3.86,3878
2590,1.04,Premium,G,SI1,59.2,61.0,6.68,6.63,3.94,4811
2591,0.51,Premium,E,SI1,61.3,54.0,5.18,5.13,3.16,1546
2592,1.09,Ideal,J,SI1,62.7,57.0,6.53,6.59,4.11,4465
2593,0.71,Very Good,I,VVS1,63.0,58.0,5.68,5.72,3.59,2456
2594,1.5,Very Good,F,SI1,61.2,57.0,7.34,7.37,4.5,10973
2595,1.54,Premium,G,SI1,61.8,59.0,7.37,7.32,4.54,11209
2596,1.5,Good,G,VS2,59.0,58.0,7.41,7.45,4.38,11294
2597,0.3,Very Good,H,SI1,61.3,61.0,4.25,4.27,2.61,421
2598,0.3,Very Good,E,VVS2,63.2,59.0,4.28,4.27,2.7,878
2599,0.32,Premium,F,VS2,60.7,58.0,4.41,4.45,2.69,645
2600,0.36,Ideal,G,VS1,62.3,57.0,4.55,4.57,2.84,678
2601,1.75,Ideal,H,I1,61.5,55.0,7.78,7.75,4.78,7409
2602,1.7,Very Good,J,VVS1,62.9,60.0,7.56,7.61,4.77,10808
2603,0.53,Ideal,E,VS2,62.8,57.0,5.19,5.16,3.25,1776
2604,0.71,Ideal,E,VS2,62.3,56.0,5.7,5.73,3.56,3026
2605,0.7,Very Good,E,VVS1,62.5,56.0,5.63,5.7,3.54,3724
2606,2.28,Premium,H,SI2,62.5,58.0,8.39,8.33,5.23,15413
2607,1.0,Premium,F,SI2,61.7,57.0,6.42,6.35,3.94,3853
2608,1.55,Very Good,F,SI1,63.1,56.0,7.4,7.38,4.66,11957
2609,0.3,Ideal,F,VVS1,61.1,55.0,4.36,4.38,2.67,1041
2610,1.03,Fair,J,SI2,64.6,62.0,6.3,6.21,4.06,3149
2611,0.56,Ideal,E,VS1,60.0,55.0,5.43,5.4,3.25,2352
2612,0.3,Ideal,E,VVS2,62.3,57.0,4.29,4.31,2.68,766
2613,0.33,Very Good,G,SI1,61.2,56.0,4.44,4.46,2.72,521
2614,1.0,Fair,G,SI1,65.8,55.0,6.22,6.19,4.08,3304
2615,1.0,Good,H,VS2,63.6,61.0,6.25,6.21,3.96,4722
2616,0.6,Ideal,E,VS2,61.2,56.0,5.45,5.44,3.33,2189
2617,1.07,Very Good,G,VVS2,61.6,57.0,6.55,6.59,4.05,7457
2618,0.32,Ideal,G,IF,61.0,56.0,4.41,4.44,2.7,918
2619,0.41,Premium,F,VVS1,61.8,59.0,4.77,4.74,2.94,1356
2620,0.3,Premium,D,SI1,62.4,60.0,4.26,4.23,2.65,709
2621,0.85,Ideal,E,VS1,63.0,57.0,6.08,5.99,3.8,4189
2622,0.23,Very Good,E,VVS1,61.9,58.0,3.94,3.98,2.45,472
2623,0.9,Good,G,SI2,63.8,59.0,6.05,6.02,3.85,3246
2624,1.5,Good,G,I1,63.7,57.0,7.28,7.21,4.62,4140
2625,0.57,Ideal,E,VS2,60.4,57.0,5.4,5.36,3.25,1819
2626,1.01,Premium,H,SI1,60.3,59.0,6.45,6.42,3.88,4191
2627,0.7,Very Good,E,SI2,60.4,59.0,5.7,5.75,3.46,2453
2628,0.24,Very Good,E,VVS2,64.4,53.0,3.92,3.94,2.53,485
2629,0.57,Good,H,SI1,63.1,54.0,5.28,5.3,3.34,1218
2630,1.15,Very Good,I,SI1,62.5,60.0,6.68,6.72,4.19,4851
2631,1.0,Very Good,G,VVS1,62.3,56.0,6.29,6.4,3.95,7507
2632,0.58,Ideal,E,VS2,61.9,56.0,5.34,5.38,3.32,1670
2633,1.5,Very Good,H,VS2,60.0,62.0,7.38,7.41,4.44,11220
2634,1.01,Premium,E,SI2,60.6,58.0,6.47,6.53,3.94,4044
2635,1.14,Fair,G,VS1,57.5,67.0,0.0,0.0,0.0,6381
2636,1.18,Very Good,I,VS1,62.2,57.0,6.72,6.76,4.19,5451
2637,1.5,Very Good,G,VS2,61.2,61.0,7.29,7.34,4.48,12196
2638,0.31,Premium,G,VVS1,63.0,58.0,4.32,4.29,2.71,1046
2639,1.32,Ideal,G,VS1,61.4,54.0,7.09,7.13,4.37,9715
2640,1.33,Fair,F,SI2,64.5,58.0,6.97,6.86,4.46,5139
2641,0.34,Fair,F,VS2,64.7,55.0,4.52,4.41,2.89,816
2642,1.23,Very Good,I,SI1,63.1,56.0,6.91,6.79,4.32,5855
2643,0.72,Ideal,I,VVS2,62.8,57.0,5.69,5.74,3.59,2594
2644,0.7,Very Good,H,VS2,61.4,54.0,5.77,5.66,3.51,2138
2645,1.02,Ideal,D,VS1,60.8,55.0,6.55,6.5,3.97,8818
2646,1.03,Premium,H,SI1,61.9,58.0,6.49,6.43,4.0,4932
2647,0.71,Premium,F,VS1,59.1,59.0,5.88,5.83,3.46,2920
2648,1.01,Very Good,H,SI1,61.8,61.0,6.4,6.47,3.98,4432
2649,1.22,Premium,I,VS2,61.6,59.0,6.86,6.81,4.21,4562
2650,0.54,Very Good,F,SI1,60.2,56.0,5.28,5.39,3.21,1404
2651,0.3,Very Good,J,SI1,62.7,59.0,4.21,4.27,2.66,351
2652,0.7,Ideal,I,VVS2,62.3,55.0,5.66,5.7,3.54,2353
2653,0.52,Ideal,H,VVS1,61.7,56.0,5.17,5.2,3.19,1625
2654,0.53,Ideal,F,SI1,62.6,55.0,5.17,5.22,3.25,1359
2655,1.51,Ideal,F,SI1,62.4,56.0,7.34,7.4,4.6,11950
2656,0.31,Good,F,VS2,58.2,58.0,4.46,4.51,2.61,637
2657,0.3,Premium,E,SI1,60.6,58.0,4.34,4.3,2.62,675
2658,0.57,Ideal,G,SI1,62.0,55.0,5.35,5.32,3.31,1662
2659,0.33,Premium,I,VVS2,61.5,58.0,4.45,4.43,2.73,743
2660,2.14,Ideal,E,SI2,62.7,55.0,8.26,8.21,5.16,13065
2661,1.11,Premium,H,SI1,58.9,59.0,6.82,6.76,4.0,4748
2662,0.5,Ideal,E,SI1,61.8,56.0,5.11,5.07,3.14,1617
2663,1.72,Premium,J,SI1,62.0,56.0,7.76,7.7,4.79,6857
2664,0.25,Ideal,G,VVS1,61.7,56.0,4.05,4.07,2.51,582
2665,1.0,Fair,D,SI2,65.0,56.0,6.27,6.23,4.06,3965
2666,0.77,Premium,E,SI1,60.9,58.0,5.94,5.88,3.6,2896
2667,0.52,Premium,G,SI2,58.4,62.0,5.33,5.28,3.1,1076
2668,0.51,Very Good,D,SI1,62.3,63.0,5.08,5.03,3.15,1387
2669,0.39,Very Good,F,VS1,63.7,57.0,4.63,4.67,2.96,895
2670,0.5,Ideal,E,VS2,62.9,54.0,5.14,5.1,3.22,1629
2671,1.27,Ideal,I,VS1,62.8,57.0,6.86,6.89,4.32,6396
2672,1.21,Good,J,VVS2,63.7,56.0,6.71,6.67,4.26,5028
2673,0.53,Good,F,SI1,63.8,56.0,5.16,5.13,3.28,1363
2674,1.13,Fair,F,VS1,64.5,55.0,6.62,6.56,4.25,7335
2675,0.91,Premium,D,VS2,62.0,58.0,6.15,6.2,3.83,5259
2676,0.27,Very Good,E,VS1,61.8,55.0,4.18,4.21,2.59,518
2677,0.7,Very Good,D,SI2,60.9,60.0,5.68,5.72,3.47,1990
2678,0.76,Premium,F,IF,60.6,60.0,5.89,5.85,3.56,4150
2679,1.22,Ideal,I,VS2,62.5,57.0,6.83,6.9,4.29,5960
2680,0.4,Ideal,H,VS1,61.2,55.0,4.75,4.79,2.92,792
2681,0.42,Ideal,G,SI1,61.6,56.0,4.81,4.84,2.97,896
2682,0.29,Ideal,H,VS1,62.4,54.0,4.23,4.26,2.65,464
2683,0.41,Ideal,D,VS1,61.2,57.0,4.77,4.81,2.93,1018
2684,1.34,Ideal,G,SI2,61.1,56.0,7.11,7.13,4.35,7058
2685,0.33,Very Good,H,VS1,59.7,59.0,4.52,4.53,2.7,579
2686,0.43,Very Good,J,VVS2,63.6,56.0,4.78,4.85,3.06,774
2687,0.32,Premium,H,VS2,61.0,60.0,4.41,4.35,2.67,648
2688,0.33,Ideal,F,IF,61.5,55.0,4.47,4.44,2.74,1114
2689,0.5,Premium,F,SI2,59.9,60.0,5.22,5.16,3.11,1125
2690,0.48,Ideal,G,IF,61.9,55.0,5.03,5.08,3.13,1791
2691,2.29,Premium,I,VS2,60.8,60.0,8.47,8.5,5.16,18653
2692,0.4,Premium,F,SI1,62.6,59.0,4.74,4.68,2.95,945
2693,0.78,Premium,F,SI2,62.7,56.0,5.87,5.84,3.67,2444
2694,0.3,Premium,E,VS2,59.2,59.0,4.37,4.41,2.6,658
2695,1.0,Ideal,I,SI1,59.8,57.0,6.5,6.44,3.87,4200
2696,0.8,Premium,H,SI1,62.0,59.0,5.91,5.96,3.68,2699
2697,0.5,Good,E,SI1,63.3,59.0,4.99,5.03,3.17,1316
2698,0.4,Very Good,D,SI1,63.1,61.0,4.71,4.67,2.96,924
2699,0.31,Premium,H,SI1,60.5,60.0,4.4,4.33,2.64,573
2700,0.28,Very Good,E,VS2,60.4,59.0,4.22,4.26,2.56,487
2701,1.05,Ideal,F,SI2,62.7,54.0,6.5,6.54,4.09,4866
2702,1.32,Very Good,F,VS1,60.3,57.0,7.08,7.12,4.28,10575
2703,1.74,Premium,H,SI2,62.1,59.0,7.78,7.65,4.79,10270
2704,1.11,Fair,H,SI1,65.7,61.0,6.42,6.39,4.21,5178
2705,1.4,Fair,F,VS2,66.5,56.0,6.83,6.76,4.52,8216
2706,0.51,Very Good,D,VS1,61.0,57.0,5.15,5.18,3.15,1756
2707,1.02,Premium,F,I1,59.6,59.0,6.51,6.45,3.87,2452
2708,0.3,Ideal,E,VS1,61.6,55.0,4.34,4.36,2.68,857
2709,0.4,Ideal,E,VS2,62.2,56.0,4.74,4.72,2.94,975
2710,0.5,Premium,H,SI1,60.2,61.0,5.16,5.14,3.1,1141
2711,0.54,Ideal,E,VVS2,61.6,56.0,5.25,5.27,3.24,2776
2712,0.7,Fair,E,VS2,65.7,55.0,5.45,5.51,3.6,2437
2713,0.31,Ideal,H,VS2,61.6,55.0,4.34,4.38,2.69,595
2714,1.01,Very Good,F,VS2,61.5,57.0,6.4,6.48,3.96,6159
2715,0.7,Ideal,H,SI2,60.6,54.0,5.73,5.65,3.45,1715
2716,0.35,Ideal,F,SI1,61.1,56.0,4.56,4.58,2.79,707
2717,1.51,Premium,G,VS2,58.1,61.0,7.57,7.54,4.39,11746
2718,1.01,Good,F,SI2,63.8,57.0,6.36,6.31,4.04,3597
2719,0.34,Premium,H,VS1,62.1,58.0,4.46,4.49,2.78,596
2720,0.53,Ideal,G,SI1,62.1,53.0,5.22,5.27,3.26,1166
2721,2.12,Premium,E,SI2,62.4,58.0,8.22,8.18,5.12,13884
2722,0.3,Premium,G,SI1,61.4,57.0,4.35,4.31,2.66,574
2723,0.56,Good,F,VS1,63.2,61.0,5.2,5.28,3.3,1712
2724,1.03,Ideal,D,SI2,62.5,55.0,6.41,6.48,4.03,5021
2725,0.33,Very Good,F,SI1,62.8,58.0,4.4,4.42,2.77,550
2726,0.57,Ideal,E,VS2,62.2,55.0,5.3,5.34,3.31,1698
2727,0.36,Ideal,I,VS1,62.1,56.0,4.55,4.59,2.84,568
2728,0.25,Ideal,H,VS1,61.7,57.0,4.04,4.07,2.5,431
2729,1.0,Ideal,H,SI2,62.6,56.0,6.38,6.34,3.98,4256
2730,0.31,Ideal,D,VS2,62.9,55.0,4.34,4.31,2.72,942
2731,1.73,Premium,E,SI1,62.6,58.0,7.67,7.59,4.78,16253
2732,0.5,Ideal,F,VVS1,61.0,57.0,5.13,5.16,3.14,2165
2733,0.71,Very Good,D,VS1,64.1,57.0,5.64,5.66,3.62,3332
2734,0.52,Very Good,F,VS2,61.9,59.0,5.11,5.14,3.17,1550
2735,1.03,Ideal,D,SI1,61.0,57.0,6.48,6.53,3.97,5804
2736,0.71,Very Good,D,SI1,61.1,56.0,5.74,5.78,3.52,2724
2737,1.0,Premium,I,VS2,62.7,62.0,6.32,6.27,3.95,3918
2738,0.34,Ideal,H,IF,61.8,54.0,4.51,4.55,2.8,863
2739,0.34,Premium,D,VS2,60.4,60.0,4.56,4.51,2.74,1033
2740,0.55,Ideal,D,VS2,61.5,56.0,5.28,5.25,3.24,2030
2741,0.57,Very Good,F,SI1,62.6,58.0,5.28,5.32,3.32,1403
2742,1.24,Premium,H,SI1,60.2,60.0,6.91,6.94,4.17,6686
2743,1.14,Good,D,IF,61.7,63.0,6.64,6.74,4.13,17499
2744,1.5,Premium,I,VS2,62.3,59.0,7.24,7.3,4.53,8431
2745,1.26,Premium,H,SI2,58.6,59.0,7.09,7.04,4.14,5998
2746,0.9,Very Good,E,VS2,61.1,63.0,6.2,6.17,3.78,4062
2747,0.32,Ideal,F,VS2,61.1,57.0,4.47,4.44,2.72,828
2748,0.71,Very Good,I,SI1,61.5,58.0,5.67,5.72,3.5,2141
2749,1.86,Very Good,H,SI1,62.6,58.0,7.77,7.82,4.88,14383
2750,1.01,Good,F,SI2,61.5,62.0,6.41,6.46,3.96,4302
2751,1.24,Very Good,F,VS2,59.6,59.0,7.0,7.07,4.19,8929
2752,0.25,Very Good,G,VVS1,61.8,57.0,4.04,4.07,2.5,525
2753,1.35,Ideal,G,VVS2,61.5,55.0,7.11,7.16,4.39,13230
2754,0.32,Good,H,VS1,63.1,57.0,4.34,4.37,2.75,561
2755,1.08,Ideal,H,VVS2,62.4,55.0,6.53,6.57,4.09,6856
2756,0.54,Ideal,E,VS1,61.2,57.0,5.25,5.27,3.22,1962
2757,0.71,Very Good,G,SI1,63.2,58.0,5.68,5.65,3.58,2147
2758,0.31,Premium,E,SI1,62.3,56.0,4.4,4.37,2.73,698
2759,1.16,Ideal,G,VS1,60.9,55.0,6.79,6.84,4.15,9248
2760,0.9,Good,H,VS1,64.1,57.0,6.07,6.04,3.88,4234
2761,1.02,Fair,I,SI1,53.0,63.0,6.84,6.77,3.66,2856
2762,0.54,Good,H,SI1,63.3,57.0,5.15,5.22,3.28,1154
2763,0.74,Very Good,G,VVS2,61.3,56.0,5.85,5.9,3.6,3413
2764,0.56,Ideal,H,VVS1,62.1,54.0,5.28,5.31,3.29,1819
2765,0.81,Ideal,E,VS1,61.6,55.0,5.96,6.02,3.69,4764
2766,0.32,Premium,F,VS2,60.6,59.0,4.44,4.4,2.68,828
2767,1.0,Ideal,F,SI1,62.0,55.0,6.39,6.44,3.98,5239
2768,1.01,Very Good,I,SI1,63.3,54.0,6.34,6.36,4.02,4749
2769,0.42,Premium,F,VS1,62.7,61.0,4.77,4.74,2.98,1176
2770,0.5,Good,D,SI1,63.2,57.0,5.02,5.07,3.19,1436
2771,0.38,Good,H,SI2,63.4,57.0,4.58,4.63,2.92,547
2772,0.83,Very Good,I,VVS1,61.8,56.0,6.0,6.03,3.72,3774
2773,0.32,Premium,E,SI1,60.1,60.0,4.47,4.42,2.67,720
2774,0.9,Very Good,H,VS1,63.0,55.0,6.18,6.13,3.88,4939
2775,1.01,Very Good,E,SI1,59.9,59.0,6.46,6.49,3.88,5224
2776,0.74,Premium,F,SI1,58.8,61.0,5.88,5.82,3.44,2042
2777,3.01,Fair,H,I1,56.1,62.0,9.54,9.38,5.31,10761
2778,0.41,Ideal,F,SI2,61.6,54.0,4.78,4.8,2.95,612
2779,0.57,Ideal,E,VS2,61.7,56.0,5.34,5.36,3.3,1851
2780,0.5,Ideal,G,SI1,62.1,56.0,5.09,5.05,3.15,1286
2781,2.01,Premium,D,SI2,59.1,60.0,8.31,8.21,4.88,13811
2782,1.2,Very Good,E,VVS2,59.5,54.0,6.98,6.96,4.15,12253
2783,1.02,Ideal,H,SI1,58.8,57.0,6.66,6.6,3.9,4819
2784,0.71,Premium,F,SI1,61.1,62.0,5.76,5.72,3.51,2317
2785,0.42,Very Good,G,VVS2,60.4,59.0,4.78,4.82,2.9,1031
2786,1.52,Good,H,VS1,63.5,60.0,7.24,7.28,4.61,11804
2787,0.59,Very Good,E,VVS2,61.7,59.0,5.37,5.36,3.31,2494
2788,0.43,Very Good,G,VVS1,61.3,57.0,4.85,4.87,2.98,1207
2789,0.41,Premium,G,VS1,61.7,57.0,4.78,4.75,2.94,961
2790,0.45,Ideal,I,VS1,62.1,55.0,4.9,4.92,3.05,825
2791,0.31,Premium,F,VS2,59.3,60.0,4.39,4.41,2.61,625
2792,0.7,Fair,G,SI2,69.3,60.0,5.41,5.35,3.72,1420
2793,0.51,Premium,F,SI1,59.4,60.0,5.19,5.21,3.09,1308
2794,0.74,Premium,F,SI1,61.2,59.0,5.88,5.82,3.58,2744
2795,1.01,Premium,D,IF,61.6,56.0,6.46,6.43,3.97,16234
2796,0.24,Ideal,E,VVS1,60.2,57.0,4.02,4.07,2.44,678
2797,0.54,Premium,D,SI1,60.4,60.0,5.24,5.22,3.16,1786
2798,0.23,Very Good,E,VVS2,60.9,60.0,3.96,3.99,2.42,530
2799,1.52,Premium,D,SI2,59.8,60.0,7.5,7.42,4.46,10623
2800,0.3,Very Good,E,VVS2,62.4,57.0,4.26,4.27,2.66,743
2801,0.4,Very Good,D,VS2,63.5,57.0,4.62,4.67,2.95,850
2802,0.29,Ideal,D,VS1,61.7,57.0,4.23,4.26,2.62,504
2803,1.2,Ideal,D,VVS2,62.7,56.0,6.78,6.81,4.26,13165
2804,1.2,Very Good,F,VVS2,62.9,59.0,6.72,6.76,4.24,10891
2805,1.29,Very Good,J,VS2,61.3,60.0,6.96,6.98,4.27,5068
2806,0.41,Ideal,I,VVS2,61.7,56.0,4.77,4.8,2.95,827
2807,0.72,Ideal,F,SI1,61.7,59.0,5.75,5.79,3.56,2706
2808,2.39,Ideal,J,VS1,62.1,57.0,8.53,8.57,5.31,17365
2809,1.27,Ideal,F,IF,61.3,55.0,6.98,7.02,4.29,15377
2810,1.11,Premium,E,SI2,61.0,60.0,6.68,6.66,4.07,4177
2811,0.7,Ideal,G,VS1,61.4,57.0,5.7,5.73,3.51,3034
2812,0.43,Premium,D,SI2,60.7,58.0,4.85,4.91,2.96,716
2813,0.75,Very Good,E,VVS1,62.3,57.0,5.73,5.83,3.6,4889
2814,1.5,Very Good,D,SI1,63.4,63.0,7.23,7.19,4.57,9895
2815,0.92,Ideal,D,SI1,61.8,55.0,6.25,6.28,3.87,4696
2816,1.51,Premium,E,SI2,61.1,60.0,7.37,7.27,4.47,9513
2817,0.44,Ideal,H,IF,62.0,57.0,4.87,4.91,3.02,1255
2818,0.53,Premium,H,VS1,62.3,58.0,5.17,5.13,3.21,1607
2819,0.63,Premium,I,VS1,62.0,58.0,5.52,5.45,3.4,1667
2820,0.51,Ideal,H,VS1,61.2,55.0,5.17,5.19,3.17,1780
2821,1.54,Premium,H,VS2,62.1,62.0,7.38,7.31,4.56,11632
2822,0.35,Ideal,E,VVS1,60.7,57.0,4.53,4.57,2.76,1044
2823,0.28,Good,E,IF,64.6,58.0,4.09,4.12,2.65,612
2824,1.05,Ideal,I,SI1,62.6,56.0,6.45,6.53,4.06,4466
2825,0.46,Premium,E,VS1,61.7,59.0,4.96,4.93,3.05,1437
2826,0.3,Premium,I,SI1,60.9,59.0,4.34,4.36,2.65,394
2827,0.42,Ideal,F,VVS2,62.1,55.0,4.79,4.81,2.98,1142
2828,0.3,Premium,H,VVS1,61.3,58.0,4.3,4.32,2.64,593
2829,1.71,Good,E,SI1,64.0,53.0,7.68,7.54,4.87,13287
2830,1.0,Good,F,SI2,63.7,57.0,6.32,6.36,4.04,3906
2831,0.4,Premium,E,SI1,62.6,59.0,4.68,4.71,2.94,737
2832,0.57,Premium,D,VS2,60.8,59.0,5.38,5.34,3.26,2019
2833,1.14,Premium,D,SI2,62.6,58.0,6.64,6.58,4.14,4520
2834,0.38,Ideal,H,VVS2,62.5,53.4,4.63,4.66,2.9,832
2835,0.82,Good,J,SI1,57.5,62.0,6.2,6.25,3.58,2033
2836,0.56,Ideal,D,VS2,61.4,57.0,5.32,5.36,3.28,1963
2837,1.01,Very Good,F,SI2,63.2,58.0,6.43,6.3,4.02,4299
2838,1.1,Ideal,H,VVS2,59.7,58.0,6.76,6.7,4.01,6616
2839,0.72,Ideal,G,VS2,61.9,58.0,5.72,5.75,3.55,2797
2840,1.17,Good,H,SI2,63.8,58.0,6.57,6.73,4.24,4826
2841,0.3,Ideal,H,IF,62.3,54.0,4.34,4.36,2.71,764
2842,0.34,Ideal,E,VS1,62.2,57.0,4.46,4.51,2.79,698
2843,0.92,Very Good,E,VS1,60.9,61.0,6.22,6.25,3.8,5453
2844,0.77,Ideal,F,SI1,61.9,57.0,5.88,5.91,3.65,2642
2845,2.18,Very Good,G,SI2,63.3,59.0,8.25,8.2,5.2,12377
2846,2.01,Premium,I,SI1,60.2,59.0,8.18,8.12,4.91,17474
2847,0.39,Premium,G,IF,59.0,60.0,4.75,4.78,2.81,1300
2848,0.8,Ideal,I,VS1,61.9,54.1,5.92,5.98,3.69,2986
2849,0.31,Ideal,E,VVS1,61.7,56.0,4.38,4.4,2.71,853
2850,1.07,Very Good,G,VS2,61.9,60.0,6.48,6.55,4.03,6101
2851,0.54,Ideal,I,VS1,63.1,55.0,5.18,5.22,3.27,1453
2852,0.41,Ideal,G,VVS2,61.1,55.0,4.83,4.8,2.94,1076
2853,0.73,Ideal,I,VS1,60.7,56.0,5.85,5.81,3.54,2397
2854,1.17,Ideal,F,SI1,62.2,56.0,6.73,6.71,4.18,5944
2855,0.55,Ideal,G,SI1,61.3,56.0,5.26,5.31,3.24,1605
2856,2.27,Ideal,G,SI1,61.1,60.0,8.46,8.42,5.16,18343
2857,0.31,Good,I,VS1,63.7,55.0,4.33,4.3,2.75,628
2858,0.4,Ideal,I,VVS1,61.4,58.0,4.72,4.76,2.91,790
2859,1.27,Ideal,F,VVS2,61.0,57.0,6.98,7.02,4.27,13823
2860,1.01,Good,G,SI1,63.9,57.0,6.3,6.37,4.05,4588
2861,0.7,Premium,D,VS1,62.9,59.0,5.72,5.66,3.58,3214
2862,0.27,Very Good,G,VVS2,61.0,56.0,4.19,4.22,2.56,504
2863,0.7,Premium,H,SI1,62.3,58.0,5.63,5.57,3.49,2020
2864,0.51,Ideal,G,VS1,62.3,53.5,5.09,5.14,3.19,1652
2865,0.3,Ideal,F,VVS1,61.9,55.0,4.32,4.34,2.68,1041
2866,1.34,Ideal,H,VS1,61.6,57.0,7.14,7.07,4.38,8780
2867,0.3,Ideal,H,VVS2,61.1,55.0,4.32,4.36,2.65,605
2868,0.9,Ideal,E,SI2,62.7,54.0,6.13,6.21,3.87,4091
2869,0.53,Ideal,G,VS2,61.6,56.0,5.24,5.19,3.21,1607
2870,0.9,Very Good,F,SI2,63.0,56.0,6.09,6.16,3.86,3368
2871,0.71,Very Good,E,VS2,60.0,59.0,5.84,5.83,3.5,2881
2872,0.71,Premium,D,SI1,61.3,58.0,5.75,5.73,3.52,2822
2873,0.56,Ideal,G,VVS2,60.7,56.0,5.33,5.32,3.23,2167
